"layer1Perc","layer2Perc","layer3Perc","layer4Perc"
100,87.5,43.75,22.6190476190476
100,75,58.3333333333333,17.2619047619048
100,100,68.75,24.4047619047619
100,81.25,58.3333333333333,17.8571428571429
75,58.3333333333333,39.5833333333333,10.4166666666667
75,50,25,4.76190476190476
75,37.5,8.92857142857143,2.97619047619048
75,21.4285714285714,7.14285714285714,2.38095238095238
25,10.7142857142857,5.35714285714286,1.78571428571429
75,50,29.1666666666667,5.35714285714286
75,50,16.0714285714286,5.35714285714286
100,75,50,11.6071428571429
75,68.75,39.5833333333333,7.73809523809524
