ID,Response,n_study,n_obs,t_mean,t_CI1,t_CI2,t_p,All,pch,col,Notes
1,Yield,114,1462,4.29202625,2.00110803,6.634397894,0.000213836,All data,15,brown,V
2,Biomass,25,259,8.534876582,4.809104092,12.39309349,6.14E-06,All data,15,brown,V
3,,,,,,,,,,brown,
4,Leaching,19,267,-61.68061051,-68.22310038,-53.79109894,1.79E-20,All data,15,orange,IV
5,Runoff,7,120,-73.34267267,-78.79821075,-66.48334288,7.05E-21,All data,15,orange,IV
6,Erosion,8,83,-75.42810145,-82.03792948,-66.38593541,1.08E-13,All data,15,orange,IV
7,SWC,28,452,0.837955153,-1.251575171,2.971700228,0.433935224,All data,15,orange,IV
8,ST,7,45,-5.788476501,-8.314180217,-3.193196275,6.32E-05,All data,15,orange,IV
9,N2O,8,30,40.61715997,12.73633146,75.39319776,0.003724293,All data,15,orange,IV
10,CH4,5,25,97.46845295,61.44501378,141.5298497,3.29E-07,All data,15,orange,IV
11,CO2,15,43,37.18034768,19.02271263,58.10803985,5.41E-05,All data,15,orange,IV
12,,,,,,,,,,orange,
13,MBN,19,183,26.30080701,20.22774573,32.6806367,3.24E-17,All data,15,black,III
14,MBC,37,317,26.55197277,21.20274562,32.1372856,4.21E-23,All data,15,black,III
15,CO2BTest,12,106,11.13533241,3.33977974,19.51895137,0.004842235,All data,15,black,III
16,SIR,2,17,-17.50060931,-23.10855826,-11.48365396,2.75E-05,All data,15,black,III
17,Nmin,32,288,20.39621288,14.22892045,26.89648137,2.49E-11,All data,15,black,III
18,Cmin,19,120,14.24449726,9.690000434,18.98810377,2.15E-09,All data,15,black,III
19,Enzyme,17,166,14.64576234,10.09396468,19.38575254,3.86E-10,All data,15,black,III
20,O-Microbial,18,174,20.43087121,15.23850934,25.85718805,2.45E-14,All data,15,black,III
21,Fungal,9,96,47.2211798,34.61002957,61.01382528,1.83E-13,All data,15,black,III
22,SoilFauna,10,54,36.76506025,13.86563447,64.26977105,0.001187039,All data,15,black,III
23,Pests,4,57,0.180306643,-18.26715087,22.7914351,0.98591574,All data,15,black,III
24,Diseases,3,20,-29.19735777,-42.31592127,-13.09535911,0.002254658,All data,15,black,III
25,Weed,15,281,-44.86186015,-54.38471001,-33.35097801,2.24E-09,All data,15,black,III
26,,,,,,,,,,black,
27,BS,3,10,-3.817283392,-12.49990232,5.726910242,0.376345231,All data,15,red,II
28,EC,10,51,7.476616125,-6.276896459,23.2484049,0.295295444,All data,15,red,II
29,CEC,21,83,8.886666445,4.215947334,13.76671645,0.00022282,All data,15,red,II
30,pH,52,251,1.024518634,0.244012235,1.811102107,0.010207544,All data,15,red,II
31,K,32,181,0.987881585,-4.242446254,6.503892675,0.715729638,All data,15,red,II
32,P,47,331,3.334783947,-2.752768889,9.803409839,0.288646361,All data,15,red,II
33,N,94,1249,-1.542767494,-4.253831755,1.245060877,0.274847277,All data,15,red,II
34,SOC,131,1195,8.75119841,7.687639184,9.825261704,1.04E-56,All data,15,red,II
35,,,,,,,,,,red,
36,AWHC,13,75,-9.396809605,-13.92077832,-4.635079758,0.000258521,All data,15,blue,I
37,Ksat,9,58,132.6236693,63.74676152,230.4723161,1.12E-05,All data,15,blue,I
38,Infiltration,10,42,73.46984952,41.86424975,112.1167859,2.01E-06,All data,15,blue,I
39,Penetration,10,156,5.678486207,1.872810589,9.626330935,0.003402116,All data,15,blue,I
40,Porosity,14,85,10.15344149,0.320402193,20.95027937,0.042823982,All data,15,blue,I
41,Aggre,31,262,13.22497978,9.129830801,17.47380118,1.82E-10,All data,15,blue,I
42,BD,67,699,-1.112404615,-1.494242357,-0.729086757,2.01E-08,All data,15,blue,I
